id,title,goal,area,time,fee,reward,notes
225,The Fierce Black Horn,Hunt the Black Diablos,Desert (Night),50mins,1250z,15000z,No Info
226,Black Phalanges,Hunt 2 Black Diablos,Old Desert,50mins,2250z,27000z,Required for Urgent Quest
227,Armored Supremacy,Hunt the Gravios,Old Swamp,50mins,1150z,13800z,Required for Urgent Quest
228,Terror of the Gravios,Hunt the Black Gravios,Volcano (Day),50mins,1250z,15000z,No Info
229,The Dark Cataphracts,Hunt 2 Black Gravios,Old Volcano,50mins,2250z,27000z,No Info
230,Explore the Unexplored,Hunt the Silver Rathalos,Tower,50mins,1350z,16200z,Required for Urgent Quest
231,A Single Beam of Moonlight,Hunt the Gold Rathian,Tower,50mins,1300z,15600z,Required for Urgent Quest
232,Descendants of the King,Hunt the Silver Rathalos and the Gold Rathian,Great Arena,50mins,3000z,36000z,No Info
233,Child of Destruction,Hunt the Rajang,Old Volcano,50mins,2500z,30000z,The Rajang in this quest is a Furious Rajang.
234,The Final Invitation,Hunt 2 Rajang,Great Arena,50mins,3000z,36000z,No Info
235,A Scenic Locale,Slay the Kirin,Tower,50mins,1150z,13800z,Quest availability is random
236,It's Electric,Slay the Kirin,Old Swamp,50mins,1250z,15000z,Quest availability is random
237,Deathmatch on the Dunes!,Hunt all of the Large Monsters,Desert (Day),50mins,3000z,36000z,"Diablos, Copper Blangonga, Tigrex"
238,"Fire, Electricity, Heat Ray",Hunt all of the Large Monsters,Old Swamp,50mins,2500z,30000z,"Pink Rathian, Red Khezu, Gravios"
239,The 3 Masters of the Volcano,Hunt all of the Large Monsters,Volcano (Day),50mins,3000z,36000z,"Lavasioth, Terra S.Ceanataur, Rathalos"
240,Diamond Dust,Hunt all of the Large Monsters,SnwyMntains (Night),50mins,2500z,30000z,Tigrex and Rajang
241,Hunter's Funeral,Hunt all of the Large Monsters,Moat Arena,50mins,3000z,36000z,"Khezu, Shogun Ceanataur, Plesioth, Diablos"
242,Pride on the Line,Hunt all of the Large Monsters,Great Arena,50mins,3000z,36000z,"Black Diablos, Black Gravios, Nargacuga"
243,The Dragon of Steel,Slay the Kushala Daora,Desert (Night),50mins,1420z,17100z,Appears randomly after killing/repelling G-Rank Lao.
244,The Dragon of Wind,Slay the Kushala Daora,Jungle (Night),50mins,1420z,17100z,Same as above.
245,Emperor of Flame,Slay the Teostra,Volcano (Night),50mins,1550z,18600z,Same as above.
246,A Midnight Audience,Slay the Teostra,Swamp (Night),50mins,1550z,18600z,Same as above.
247,Evaporate into the Night,Slay the Chameleos,Jungle (Night),50mins,1420z,17100z,Same as above.
248,Towards the Silence,Slay the Chameleos,Swamp (Night),50mins,1420z,17100z,Same as above.
249,The Floating Dragon,Slay the Yama Tsukami,Tower,50mins,2500z,30000z,HR9 Urgent Quest
250,The Approaching Gaoren,Defend the Town from Shen Gaoren,Town,30mins,3500z,42000z,You will fail if the Fort Integrity reaches Zero / Required for Urgent Quest
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest
252,Legendary Black Dragon,Slay the Fatalis,Castle Schrade,50mins,4500z,54000z,Complete at least one weapon training (G-Class) for each Monster (8 Total)
253,The End Times,Slay the Crimson Fatalis,Battleground,50mins,4500z,54000z,Slay the Fatalis and clear all Elder Dragon quests (including Kirin)
254,Ancestral Dragon,Slay the White Fatalis,Tower,50mins,4500z,54000z,Slay the Crimson Fatalis and clear all G3★ Epic Hunting Quests
